stock_name,cup_handle_price_line,start_of_cup_date,end_of_cup_date,handle_start_date,confirmation_date,handle_shape,cup_bottom_price,handle_low,depth_percent,profit_target,risk_reward_ratio,status,confidence,days_ago
AFRM,78.95,2025-10-24,2025-12-22,2025-12-22,2026-01-05,drift,60.29,74.04,23.64,97.61,3.8,confirmed,87,1
AIG,87.1,2025-04-02,2025-12-23,2025-12-23,Not confirmed yet,flag,74.82,85.94,14.1,99.38,10.59,forming,82,3
AIR,87.55,2025-10-27,2025-12-22,2025-12-22,2026-01-06,drift,76.1,83.0,13.08,99.0,2.52,confirmed,87,0
AMP,503.81,2025-09-26,2025-12-26,2025-12-26,Not confirmed yet,drift,440.67,487.0,12.53,566.95,3.76,forming,87,1
APO,150.44,2025-08-05,2025-12-22,2025-12-22,Not confirmed yet,drift,126.14,146.9,16.15,174.74,6.86,forming,87,4
APP,745.61,2025-09-29,2025-12-22,2025-12-22,Not confirmed yet,drift,542.48,682.0,27.24,948.74,3.19,forming,87,4
AS,39.29,2025-09-18,2025-12-12,2025-12-12,Not confirmed yet,drift,28.92,37.39,26.39,49.66,5.46,forming,87,6
ASGN,49.3,2025-10-07,2025-12-23,2025-12-23,Not confirmed yet,pennant,41.52,48.26,15.78,57.08,7.48,forming,77,3
BA,225.56,2025-10-28,2025-12-24,2025-12-24,2026-01-02,drift,176.77,215.11,21.63,274.35,4.67,confirmed,87,2
BALL,53.85,2025-08-22,2025-12-29,2025-12-29,Not confirmed yet,flag,46.87,52.22,12.96,60.83,4.28,forming,82,0
BBU,36.72,2025-10-15,2025-12-29,2025-12-29,Not confirmed yet,drift,30.4,35.14,17.21,43.04,4.0,forming,87,-1
BKNG,5317.79,2025-10-22,2025-12-12,2025-12-12,Not confirmed yet,pennant,4562.39,5287.09,14.21,6073.19,24.61,forming,77,5
BMA,95.15,2025-11-03,2025-12-19,2025-12-19,Not confirmed yet,drift,71.64,89.18,24.71,118.66,3.94,forming,87,5
BYD,88.49,2025-10-02,2025-12-22,2025-12-22,2026-01-05,drift,76.33,84.8,13.74,100.65,3.3,confirmed,87,1
CCL,32.5,2025-09-29,2025-12-22,2025-12-22,Not confirmed yet,drift,25.91,30.27,20.28,39.09,2.96,forming,87,3
CE,44.14,2025-10-27,2025-12-11,2025-12-11,Not confirmed yet,drift,35.13,40.62,20.41,53.15,2.56,forming,87,2
CLH,248.07,2025-10-28,2025-12-11,2025-12-11,Not confirmed yet,drift,201.34,237.62,18.84,294.8,4.47,forming,87,6
CNA,49.28,2025-08-22,2025-12-23,2025-12-23,Not confirmed yet,drift,43.31,47.54,12.11,55.25,3.43,forming,87,3
CNC,39.28,2025-10-07,2025-12-03,2025-12-03,2026-01-05,drift,32.87,37.25,16.32,45.69,3.16,confirmed,87,1
CPAY,315.38,2025-09-17,2025-12-22,2025-12-22,Not confirmed yet,drift,264.08,307.19,16.27,366.68,6.26,forming,87,4
CRL,199.66,2025-10-24,2025-12-18,2025-12-18,Not confirmed yet,drift,156.72,191.89,21.51,242.6,5.53,forming,87,6
DIS,116.06,2025-10-01,2025-12-26,2025-12-26,Not confirmed yet,drift,101.89,111.62,12.21,130.23,3.19,forming,87,1
EMN,64.94,2025-10-03,2025-12-18,2025-12-18,2026-01-06,drift,56.75,62.26,12.61,73.13,3.06,confirmed,87,0
ESNT,65.9,2025-09-19,2025-12-26,2025-12-26,Not confirmed yet,drift,56.64,63.95,14.05,75.16,4.75,forming,87,1
EVR,363.46,2025-09-19,2025-12-26,2025-12-26,2026-01-05,drift,287.24,338.95,20.97,439.68,3.11,confirmed,87,1
FBIN,52.95,2025-10-31,2025-12-18,2025-12-18,Not confirmed yet,drift,44.04,49.58,16.83,61.86,2.64,forming,87,2
FHI,53.73,2025-09-11,2025-12-22,2025-12-22,Not confirmed yet,pennant,46.97,52.72,12.58,60.49,6.69,forming,77,4
FHN,23.26,2025-09-19,2025-12-09,2025-12-09,Not confirmed yet,pennant,19.8,22.7,14.88,26.72,6.18,forming,77,4
FIS,68.72,2025-10-07,2025-12-12,2025-12-12,Not confirmed yet,drift,59.15,65.36,13.93,78.29,2.85,forming,87,3
FMX,105.25,2025-06-16,2025-12-11,2025-12-11,Not confirmed yet,drift,83.18,98.64,20.97,127.32,3.34,forming,87,2
FNB,16.49,2025-09-17,2025-11-28,2025-11-28,Not confirmed yet,pennant,14.36,16.34,12.92,18.62,14.2,forming,77,6
GATX,177.42,2025-10-06,2025-12-23,2025-12-23,Not confirmed yet,drift,150.42,169.84,15.22,204.42,3.56,forming,87,3
GKOS,102.8,2025-10-30,2025-11-24,2025-11-24,Not confirmed yet,pennant,80.9,96.35,21.3,124.7,3.4,forming,77,4
GL,147.54,2025-09-23,2025-12-24,2025-12-24,Not confirmed yet,drift,127.85,139.81,13.35,167.23,2.55,forming,87,2
HBAN,17.54,2025-10-06,2025-12-10,2025-12-10,Not confirmed yet,drift,15.05,16.9,14.2,20.03,3.89,forming,87,6
HOLX,74.5,2025-01-06,2025-12-26,2025-12-26,Not confirmed yet,flag,51.9,74.41,30.34,97.1,251.11,forming,82,1
IRT,17.99,2025-09-05,2025-12-26,2025-12-26,Not confirmed yet,flag,15.79,17.21,12.23,20.19,2.82,forming,82,0
