stock_name,cup_handle_price_line,start_of_cup_date,end_of_cup_date,handle_start_date,confirmation_date,handle_shape,cup_bottom_price,handle_low,depth_percent,profit_target,risk_reward_ratio,status,confidence,days_ago
AFRM,78.95,2025-10-10,2025-12-18,2025-12-18,2026-01-05,pennant,60.29,73.68,23.64,97.61,3.54,confirmed,77,1
AZZ,114.26,2025-05-19,2025-12-11,2025-12-11,Not confirmed yet,drift,92.79,106.63,18.79,135.73,2.81,forming,87,4
BBU,36.72,2025-09-19,2025-12-02,2025-12-02,Not confirmed yet,drift,30.4,34.31,17.21,43.04,2.62,forming,87,6
BLCO,16.81,2025-10-31,2025-11-28,2025-11-28,Not confirmed yet,pennant,14.44,16.03,14.1,19.18,3.04,forming,77,6
BURL,287.29,2025-10-24,2025-12-19,2025-12-19,2026-01-05,pennant,240.49,270.97,16.29,334.09,2.87,confirmed,77,1
DBRG,13.2,2025-10-24,2025-12-18,2025-12-18,2025-12-29,flag,8.94,12.68,32.27,17.46,8.19,confirmed,82,5
DECK,107.55,2025-09-26,2025-12-15,2025-12-15,Not confirmed yet,pennant,78.91,97.92,26.63,136.19,2.97,forming,77,4
EAT,129.0,2025-10-24,2025-11-19,2025-11-19,Not confirmed yet,pennant,100.3,123.1,22.25,157.7,4.86,forming,77,6
EXPE,269.77,2025-10-24,2025-12-02,2025-12-02,Not confirmed yet,pennant,234.34,255.8,13.13,305.2,2.54,forming,77,5
FHN,22.93,2025-07-31,2025-11-25,2025-11-25,Not confirmed yet,pennant,19.8,21.88,13.65,26.06,2.98,forming,77,3
FIS,69.44,2025-09-05,2025-12-11,2025-12-11,Not confirmed yet,drift,59.15,65.36,14.82,79.73,2.52,forming,87,5
FNB,16.83,2025-07-17,2025-11-25,2025-11-25,Not confirmed yet,pennant,14.36,16.15,14.68,19.3,3.63,forming,77,5
HBAN,17.9,2025-08-07,2025-12-10,2025-12-10,Not confirmed yet,drift,15.05,16.9,15.92,20.75,2.85,forming,87,4
JEF,64.64,2025-07-02,2025-12-11,2025-12-11,2026-01-06,drift,48.16,60.34,25.5,81.12,3.83,confirmed,87,0
KEY,19.03,2025-07-02,2025-12-01,2025-12-01,Not confirmed yet,pennant,16.29,18.11,14.4,21.77,2.98,forming,77,6
KNF,80.44,2025-09-12,2025-12-11,2025-12-11,Not confirmed yet,drift,58.72,72.25,27.0,102.16,2.65,forming,87,5
MTDR,43.99,2025-10-10,2025-12-01,2025-12-01,Not confirmed yet,drift,36.79,40.7,16.37,51.19,2.19,forming,87,5
PRKS,37.76,2025-11-07,2025-12-03,2025-12-03,Not confirmed yet,drift,29.62,34.21,21.56,45.9,2.29,forming,87,6
REVG,62.33,2025-10-10,2025-12-16,2025-12-16,Not confirmed yet,pennant,48.73,59.12,21.82,75.93,4.24,forming,77,5
RF,26.99,2025-07-02,2025-12-03,2025-12-03,2026-01-05,pennant,22.46,25.41,16.78,31.52,2.87,confirmed,77,1
RKT,18.82,2025-10-03,2025-12-08,2025-12-08,2026-01-05,drift,15.34,17.76,18.49,22.3,3.28,confirmed,87,1
RNG,30.9,2025-10-24,2025-12-08,2025-12-08,Not confirmed yet,pennant,25.66,28.88,16.96,36.14,2.59,forming,77,3
RTO,30.1,2025-10-17,2025-12-11,2025-12-11,Not confirmed yet,pennant,25.97,28.44,13.72,34.23,2.49,forming,77,4
SN,101.59,2025-10-24,2025-12-01,2025-12-01,Not confirmed yet,pennant,83.21,94.94,18.09,119.97,2.76,forming,77,5
SNV,49.77,2025-10-03,2025-11-25,2025-11-25,Not confirmed yet,pennant,43.59,47.06,12.42,55.95,2.28,forming,77,5
TGLS,51.7,2025-11-07,2025-12-01,2025-12-01,Not confirmed yet,pennant,44.26,48.53,14.39,59.14,2.35,forming,77,5
TGNA,18.75,2025-01-30,2025-11-24,2025-11-24,Not confirmed yet,pennant,14.69,18.71,21.65,22.81,101.5,forming,77,3
U,45.83,2025-07-24,2025-12-01,2025-12-01,Not confirmed yet,pennant,34.04,41.23,25.73,57.62,2.56,forming,77,6
